"pid","age","english","gender","fingers","ts"
"id0b3b44e2cef4d","24","B2","m","t","2024-07-08 12:33:10"
"id0bdef54858cd3","23","u","m","tt","2024-07-09 11:36:24"
"id15d11dd8fd8aa","23","C2","m","tt","2024-07-09 16:22:34"
"id1d7694116bf3a","28","C2","m","t","2024-07-08 16:31:07"
"id3375326df78648","33","C2","m","i","2024-07-05 14:12:00"
"id3d3533f2ad9f7","25","C1","m","tt","2024-07-08 17:47:40"
"id4800804c0a8bb","22","C2","m","tt","2024-07-09 12:33:43"
"id485d6e97579b2","25","C1","m","i","2024-07-05 14:11:46"
"id5098c7343d768","27","C1","f","tt","2024-07-05 14:23:25"
"id617cb828677308","24","C2","m","tt","2024-07-08 10:30:25"
"id88d9599e3704f","21","C2","m","tt","2024-07-08 14:08:23"
"id93df3a2b5de79","29","C1","f","i","2024-07-05 18:48:58"
"id95955346653c","25","C2","m","tt","2024-07-08 18:44:36"
"id9bd6a4957c10c","40","C2","f","tt","2024-07-08 17:07:39"
"ida8cf5ca5e993a","21","C2","m","tt","2024-07-09 11:12:09"
"ida90f5cd2503a7","25","C1","m","tt","2024-07-08 18:19:43"
"idb53ee7b1425ce","22","C2","m","tt","2024-07-09 17:38:05"
"idbad99ed7a2a12","23","C2","m","t","2024-07-09 12:06:42"
"idff8add4b82d27","23","B2","m","tt","2024-07-08 11:52:53"
